sentence_id,word_id,word,nFix,FFD,GPT,TRT,fixProp
800,0,It's,4.8839874,1.5155658,1.3055538,2.016008,26.9966
800,1,the,9.81736,2.6961572,3.233708,3.452174,59.811497
800,2,funniest,24.527786,4.650647,6.3560243,9.146205,94.118805
800,3,American,19.789194,4.604448,6.7974305,6.6133857,99.253914
800,4,comedy,18.14095,3.9198089,6.025691,6.2251005,84.386055
800,5,since,8.4378395,2.7909305,4.2767205,3.2068846,53.24142
800,6,Graffiti,26.1252,5.817167,23.364967,11.021904,98.84523
800,7,Bridge.<EOS>,14.933894,3.9414368,16.918741,6.0109367,68.44892
801,0,For,3.9288228,1.3325423,1.3242855,1.5848768,23.903957
801,1,a,8.4773855,2.3906853,4.0825224,3.309405,47.992367
801,2,time,13.494322,3.0474732,3.5885038,4.571906,66.36812
801,3,in,4.581892,1.3575144,1.9173805,1.5155284,31.61287
801,4,the,8.763883,2.0867586,2.2962096,2.9122057,49.25709
801,5,summer,18.23365,3.8035207,5.993979,5.924666,86.66293
801,6,of,6.2192564,1.5733587,2.0941312,2.1020129,36.206528
801,7,"1823,",26.553808,5.7664027,11.652391,12.159875,93.1527
801,8,his,7.4148955,2.0573752,2.6639652,2.6035793,45.957794
801,9,expedition,22.905205,4.8452606,6.625355,8.134806,98.94417
801,10,was,9.443098,2.6131787,2.9525087,3.0291626,58.097614
801,11,joined,14.858363,3.5071168,4.7440763,4.860421,78.97635
801,12,by,5.176402,1.4848108,1.5086235,1.5650257,34.41769
801,13,Italian,16.912401,4.245863,7.4930296,5.9545794,88.514465
801,14,explorer,23.210537,5.0461364,8.632394,8.350345,99.94334
801,15,Giacomo,27.845924,5.304298,11.368442,11.414912,92.98735
801,16,Beltrami.<EOS>,29.503567,5.8049674,27.108278,12.837257,95.78551
802,0,This,2.277196,0.92031187,0.007925058,0.78270316,16.913836
802,1,method,26.440186,4.5116115,6.33741,9.85333,93.126015
802,2,almost,19.731052,4.326208,5.1707006,7.199026,90.45155
802,3,never,18.787807,4.2019014,5.2431526,6.4696255,92.63268
